epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3258,1.1249,0.55073,1.11548,0.94991,0.9308,0.9838,0.58011,1.46839,0.60089,1.25349,9.35864e-05,9.35864e-05,9.35864e-05
2,33.7442,1.04713,0.49907,1.0874,0.94036,0.94524,0.97673,0.55551,1.53865,0.64117,1.30196,0.000188782,0.000188782,0.000188782
3,41.112,1.07415,0.51747,1.09203,0.93189,0.9287,0.96951,0.5487,1.52385,0.64998,1.31352,0.000283958,0.000283958,0.000283958
4,48.1948,1.07615,0.51257,1.10081,0.90259,0.95469,0.97255,0.57071,1.48603,0.61959,1.25462,0.000379102,0.000379102,0.000379102
5,55.4265,1.07761,0.52454,1.09494,0.93648,0.93705,0.98023,0.57211,1.50533,0.62997,1.29738,0.000474199,0.000474199,0.000474199
6,62.3338,1.03808,0.5123,1.06978,0.9423,0.93132,0.97404,0.54365,1.5458,0.66198,1.31452,0.000475706,0.000475706,0.000475706
7,69.4177,1.07853,0.52187,1.09629,0.92109,0.84372,0.93716,0.55457,1.46872,0.76044,1.25507,0.000475577,0.000475577,0.000475577
8,76.5271,1.08269,0.54957,1.09503,0.90332,0.91846,0.95205,0.56904,1.44123,0.67943,1.27562,0.000475425,0.000475425,0.000475425
9,83.4743,1.07537,0.54986,1.10708,0.95056,0.92998,0.97988,0.5955,1.42294,0.59147,1.24392,0.000475249,0.000475249,0.000475249
10,90.5326,1.0724,0.55225,1.11074,0.90101,0.90156,0.96374,0.59507,1.37757,0.6816,1.23863,0.000475049,0.000475049,0.000475049
11,97.5149,1.07134,0.54346,1.11339,0.90626,0.91212,0.97177,0.58225,1.45073,0.6472,1.27546,0.000474827,0.000474827,0.000474827
12,104.501,1.05878,0.52612,1.09778,0.89119,0.86112,0.94654,0.55438,1.49542,0.76588,1.30031,0.00047458,0.00047458,0.00047458
13,111.767,1.07058,0.53274,1.10147,0.81569,0.84424,0.90526,0.54035,1.44782,0.91012,1.29716,0.000474311,0.000474311,0.000474311
14,118.784,1.07502,0.51511,1.10341,0.86791,0.85498,0.91916,0.49297,1.60522,0.88806,1.34491,0.000474018,0.000474018,0.000474018
15,125.765,1.07631,0.53661,1.10877,0.92759,0.89234,0.96268,0.55582,1.49062,0.73251,1.28849,0.000473702,0.000473702,0.000473702
16,132.714,1.0757,0.55527,1.11081,0.94521,0.91376,0.97441,0.60393,1.39746,0.63196,1.22588,0.000473363,0.000473363,0.000473363
17,139.709,1.07424,0.52684,1.0998,0.92459,0.88775,0.95551,0.55372,1.49873,0.72017,1.28862,0.000473,0.000473,0.000473
18,147.03,1.07994,0.53134,1.10328,0.86932,0.87851,0.93445,0.49436,1.65159,0.81547,1.39615,0.000472615,0.000472615,0.000472615
19,154.2,1.10855,0.51797,1.11873,0.91005,0.90267,0.94915,0.53281,1.56292,0.76924,1.30178,0.000472206,0.000472206,0.000472206
20,161.251,1.05663,0.52766,1.09592,0.88477,0.89571,0.95054,0.58371,1.39889,0.74455,1.25583,0.000471774,0.000471774,0.000471774
21,168.078,1.07712,0.53969,1.10744,0.91776,0.88219,0.96447,0.58004,1.44197,0.69032,1.26304,0.000471319,0.000471319,0.000471319
22,175.073,1.05628,0.51978,1.09146,0.89795,0.85943,0.91503,0.52765,1.5031,0.87973,1.29648,0.000470841,0.000470841,0.000470841
23,182.09,1.10297,0.56618,1.11925,0.93878,0.90258,0.96053,0.53305,1.55968,0.6806,1.30791,0.000470341,0.000470341,0.000470341
24,189.099,1.07511,0.54734,1.10532,0.90087,0.89769,0.95285,0.48995,1.66801,0.77134,1.38316,0.000469817,0.000469817,0.000469817
25,196.218,1.05858,0.53217,1.09679,0.90813,0.91008,0.95846,0.54633,1.51147,0.7029,1.29224,0.000469271,0.000469271,0.000469271
26,203.139,1.06863,0.53686,1.10127,0.94556,0.94668,0.98392,0.60745,1.37322,0.55121,1.21351,0.000468701,0.000468701,0.000468701
27,210.039,1.06563,0.52095,1.09605,0.93467,0.92787,0.97543,0.57186,1.48554,0.6232,1.27207,0.000468109,0.000468109,0.000468109
28,217.085,1.0665,0.53191,1.0953,0.94064,0.94107,0.9788,0.58178,1.46018,0.59443,1.27547,0.000467495,0.000467495,0.000467495
29,224.008,1.10063,0.54635,1.11485,0.87227,0.95681,0.98613,0.5972,1.44541,0.61814,1.28046,0.000466858,0.000466858,0.000466858
